[1.0, u'procedure case originated']
[0.47999999999999998, u'democratic society interests']
[0.47999999999999998, u'effective remedy available']
[0.47999999999999998, u'right trial reasonable']
[0.47999999999999998, u'united kingdom great']
[0.47499999999999998, u'application article 37']
[0.47499999999999998, u'breach article protocol']
[0.47499999999999998, u'exceeding unavoidable level']
[0.47499999999999998, u'judicial review proceedings']
[0.47499999999999998, u'lack effective accessible']
[0.47499999999999998, u'month time limit']
[0.46999999999999997, u'39 rules court']
[0.46999999999999997, u'award just satisfaction']
[0.46999999999999997, u'capable affording redress']
[0.46999999999999997, u'fair balance struck']
[0.46999999999999997, u'government filed observations']
[0.46999999999999997, u'guarantee remedy allowing']
[0.46999999999999997, u'originated application slovak']
[0.46999999999999997, u'representative russian federation']
[0.46999999999999997, u'russian national mr']
[0.46999999999999997, u'treatment contrary article']
[0.46999999999999997, u'values democratic societies']
[0.46500000000000002, u'article convention reads']
[0.46500000000000002, u'case applicant born']
[0.46500000000000002, u'deficiency investigation undermines']
[0.46500000000000002, u'having regard circumstances']
[0.46500000000000002, u'human rights building']
[0.46500000000000002, u'reiterates article 13']
[0.46500000000000002, u'terms torture inhuman']
[0.46000000000000002, u'article convention provides']
[0.46000000000000002, u'compensation respect loss']
[0.46000000000000002, u'higher court vi\u0161je']
[0.46000000000000002, u'pilot judgment procedure']
[0.46000000000000002, u'remedy disposal respect']
[0.46000000000000002, u'remedy respect length']
[0.46000000000000002, u'review lawfulness detention']
[0.45500000000000002, u'accordance law necessary']
[0.45500000000000002, u'adequate redress delays']
[0.45500000000000002, u'ill treated police']
[0.45500000000000002, u'meaning article protocol']
[0.45500000000000002, u'reasonable time requirement']
[0.45500000000000002, u'rights freedoms guaranteed']
[0.45500000000000002, u'shall interference public']
[0.45500000000000002, u'united group alignment']
[0.45500000000000002, u'violation convention rights']
[0.45000000000000001, u'age state health']
[0.45000000000000001, u'echr 2002 x2011']
[0.45000000000000001, u'examined material submitted']
[0.45000000000000001, u'pecuniary non pecuniary']
[0.45000000000000001, u'rights obligations criminal']
[0.45000000000000001, u'unreasonable length proceedings']
[0.44500000000000001, u'41 convention provides']
[0.44500000000000001, u'case conduct applicant']
[0.44500000000000001, u'damage created delay']
[0.44500000000000001, u'nature applicant complaint']
[0.44500000000000001, u'strict absorbed article']
[0.44, u'14 convention taken']
[0.44, u'41 convention court']
[0.44, u'42320 98 october']
[0.44, u'article protocol article']
[0.44, u'convention redress damage']
[0.44, u'fall scope article']
[0.44, u'lodged court article']
[0.44, u'recognised domestic law']
[0.44, u'registrar agent government']
[0.44, u'represented agent mrs']
[0.44, u'right life shall']
[0.44, u'united states dollars']
[0.435, u'access natural light']
[0.435, u'application ukraine lodged']
[0.435, u'material submitted having']
[0.435, u'united kingdom government']
[0.42999999999999999, u'ii relevant domestic']
[0.42999999999999999, u'non enforcement judgment']
[0.42999999999999999, u'rule exhaustion domestic']
[0.42999999999999999, u'scope manner exercise']
[0.42499999999999999, u'court ruling issue']
[0.42499999999999999, u'ill founded meaning']
[0.42499999999999999, u'necessarily incurred reasonable']
[0.42499999999999999, u'question application article']
[0.42499999999999999, u'referred court european']
[0.41999999999999998, u'action taken view']
[0.41999999999999998, u'circumstances court considers']
[0.41999999999999998, u'length proceedings cases']
[0.41999999999999998, u'required article 41']
[0.41999999999999998, u'unsettled absence case']
[0.41499999999999998, u'alleged ill treatment']
[0.41499999999999998, u'applicant relevant authorities']
[0.41499999999999998, u'constitutional complaint constitutional']
[0.41499999999999998, u'law unsettled absence']
[0.41499999999999998, u'length proceedings article']
[0.41499999999999998, u'protection rights freedoms']
[0.41499999999999998, u'remedy allowing competent']
[0.41499999999999998, u'russian government government']
[0.41499999999999998, u'ukrainian national mr']
[0.40999999999999998, u'bembi\u010d state attorney']
[0.40999999999999998, u'case referred court']
[0.40999999999999998, u'decision article court']
[0.40999999999999998, u'unavoidable level suffering']
[0.40500000000000003, u'chechnya prosecutor office']
[0.40500000000000003, u'remedy article 13']
[0.40500000000000003, u'yugoslav republic macedonia']
[0.40000000000000002, u'conjunction article protocol']
[0.40000000000000002, u'contrary article convention']
[0.40000000000000002, u'court european commission']
[0.40000000000000002, u'instant case length']
[0.40000000000000002, u'ministry foreign affairs']
[0.39500000000000002, u'assessment equitable basis']
[0.39500000000000002, u'depending nature applicant']
[0.39500000000000002, u'force used applicant']
[0.39500000000000002, u'mr laptev representative']
[0.39500000000000002, u'peaceful enjoyment possessions']
[0.39500000000000002, u'relevant domestic law']
[0.39500000000000002, u'right violations alleged']
[0.39500000000000002, u'rule 39 rules']
[0.39000000000000001, u'98 october 2001']
[0.39000000000000001, u'authority exercise right']
[0.39000000000000001, u'right scope manner']
[0.39000000000000001, u'ukraine lodged court']
[0.38500000000000001, u'human rights commission']
[0.38, u'constitutional court act']
[0.38, u'non pecuniary damage']
[0.38, u'tax chargeable costs']
[0.38, u'violation article 14']
[0.375, u'alleged violation continuation']
[0.375, u'automatic suspensive effect']
[0.375, u'conduct applicant relevant']
[0.375, u'including way evidence']
[0.375, u'manner conform obligations']
[0.375, u'russian federation lodged']
[0.375, u'standard proof reasonable']
[0.37, u'absolute terms torture']
[0.37, u'afforded discretion manner']
[0.37, u'circumstances case having']
[0.37, u'proportionality means employed']
[0.37, u'required level public']
[0.36499999999999999, u'34 convention protection']
[0.36499999999999999, u'authorities respondent state']
[0.36499999999999999, u'depends circumstances case']
[0.36499999999999999, u'just satisfaction respect']
[0.36499999999999999, u'laptev representative russian']
[0.36499999999999999, u'section 63 constitutional']
[0.36499999999999999, u'state attorney general']
[0.36499999999999999, u'sufficient just satisfaction']
[0.35999999999999999, u'aims referred paragraph']
[0.35999999999999999, u'essence right impaired']
[0.35999999999999999, u'imposes respondent state']
[0.35999999999999999, u'law necessary democratic']
[0.35499999999999998, u'domestic law respect']
[0.34999999999999998, u'application judicial review']
[0.34999999999999998, u'article 13 guarantees']
[0.34999999999999998, u'constitutional court ustavni']
[0.34999999999999998, u'contracting states afforded']
[0.34999999999999998, u'convention iii alleged']
[0.34999999999999998, u'extent essence right']
[0.34999999999999998, u'head costs expenses']
[0.34999999999999998, u'remedy state domestic']
[0.34499999999999997, u'conform obligations provision']
[0.34499999999999997, u'discharge mentioned burden']
[0.34499999999999997, u'gc 57220 00']
[0.34499999999999997, u'grand chamber determined']
[0.34499999999999997, u'real risk subjected']
[0.34000000000000002, u'interference right peaceful']
[0.34000000000000002, u'interference right respect']
[0.34000000000000002, u'relating civil rights']
[0.33500000000000002, u'13 varies depending']
[0.33500000000000002, u'complained state authorities']
[0.33500000000000002, u'different conclusion present']
[0.33500000000000002, u'directly decisive right']
[0.33500000000000002, u'existence right scope']
[0.33500000000000002, u'insufficient discharge mentioned']
[0.33500000000000002, u'right access court']
[0.33000000000000002, u'appeared court government']
[0.33000000000000002, u'chargeable costs expenses']
[0.33000000000000002, u'criminal investigation file']
[0.33000000000000002, u'european court human']
[0.33000000000000002, u'national authority deal']
[0.33000000000000002, u'reads shall subjected']
[0.33000000000000002, u'remedy meaning article']
[0.33000000000000002, u'requiring remedy state']
[0.33000000000000002, u'right court right']
[0.33000000000000002, u'security public order']
[0.33000000000000002, u'way extent essence']
[0.32500000000000001, u'obligation result means']
[0.32500000000000001, u'relating status refugees']
[0.32500000000000001, u'relevant provisions code']
[0.32500000000000001, u'sum included fees']
[0.32000000000000001, u'criminal case concerning']
[0.32000000000000001, u'making assessment equitable']
[0.32000000000000001, u'parties unable agree']
[0.32000000000000001, u'right set forth']
[0.315, u'aggregate remedies provided']
[0.315, u'intensity exceeding unavoidable']
[0.315, u'process exhaustion domestic']
[0.315, u'protection arbitrary interference']
[0.315, u'unable agree terms']
[0.31, u'50 art 50']
[0.31, u'bulgarian government government']
[0.31, u'croatian government government']
[0.31, u'district court okro\u017eno']
[0.31, u'interests kin proceedings']
[0.30499999999999999, u'application article 50']
[0.30499999999999999, u'cruel inhuman degrading']
[0.30499999999999999, u'interpreted requiring remedy']
[0.30499999999999999, u'section federal law']
[0.29999999999999999, u'committee prevention torture']
[0.29999999999999999, u'court considers necessary']
[0.29999999999999999, u'court vi\u0161je sodi\u0161\u010de']
[0.29999999999999999, u'criminal charge entitled']
[0.29999999999999999, u'inferences government failure']
[0.29999999999999999, u'republic croatia lodged']
[0.29999999999999999, u'state responsible article']
[0.29499999999999998, u'13 requirements strict']
[0.29499999999999998, u'agree terms friendly']
[0.29499999999999998, u'fear anguish inferiority']
[0.29499999999999998, u'necessary examine case']
[0.29499999999999998, u'pursued legitimate aim']
[0.29499999999999998, u'right respect private']
[0.29499999999999998, u'sufficient degree certainty']
[0.28999999999999998, u'applicant represented verstov\u0161ek']
[0.28999999999999998, u'group alignment uga']
[0.28999999999999998, u'terms friendly settlement']
[0.28499999999999998, u'capable leading identification']
[0.28499999999999998, u'court okro\u017eno sodi\u0161\u010de']
[0.28499999999999998, u'enforcement judgments effective']
[0.28499999999999998, u'expression accordance law']
[0.28499999999999998, u'judgments effective law']
[0.28499999999999998, u'wide margin appreciation']
[0.28000000000000003, u'convention basis unilateral']
[0.28000000000000003, u'expedited determination applicant']
[0.28000000000000003, u'law does indicate']
[0.28000000000000003, u'regarded sufficient degree']
[0.28000000000000003, u'sufficiently certain theory']
[0.28000000000000003, u'threat national security']
[0.27500000000000002, u'claims just satisfaction']
[0.27500000000000002, u'conditions detention remand']
[0.27500000000000002, u'convention contracting states']
[0.27500000000000002, u'court finds remedy']
[0.27500000000000002, u'croatia lodged court']
[0.27500000000000002, u'domestic legal order']
[0.27500000000000002, u'expenditures state budget']
[0.27500000000000002, u'federation lodged court']
[0.27500000000000002, u'inoperative detriment party']
[0.27500000000000002, u'interference public authority']
[0.27500000000000002, u'minimum monthly wage']
[0.27500000000000002, u'necessary democratic society']
[0.27500000000000002, u'secure friendly settlement']
[0.27000000000000002, u'basis required article']
[0.27000000000000002, u'breach requirement article']
[0.27000000000000002, u'effective investigation capable']
[0.27000000000000002, u'equitable basis required']
[0.27000000000000002, u'exclusive control authorities']
[0.27000000000000002, u'exercise right accordance']
[0.27000000000000002, u'means employed aim']
[0.27000000000000002, u'regarded arguable terms']
[0.27000000000000002, u'shall placed exercise']
[0.26500000000000001, u'13 guarantees effective']
[0.26500000000000001, u'article 13 convention']
[0.26500000000000001, u'employed aim sought']
[0.26500000000000001, u'inadmissible established declared']
[0.26500000000000001, u'leading identification punishment']
[0.26500000000000001, u'originated application ireland']
[0.26500000000000001, u'prevention crime protection']
[0.26500000000000001, u'turkish liras trl']
[0.26000000000000001, u'absence case law']
[0.26000000000000001, u'case originated application']
[0.26000000000000001, u'composition grand chamber']
[0.26000000000000001, u'effective practice law']
[0.26000000000000001, u'follows court finds']
[0.26000000000000001, u'freedoms convention bulgarian']
[0.26000000000000001, u'poor state repair']
[0.26000000000000001, u'state officials bodies']
[0.255, u'binding judicial decision']
[0.255, u'challenged national authority']
[0.255, u'determination applicant case']
[0.255, u'impossibility applicant obtain']
[0.255, u'public scrutiny safeguard']
[0.255, u'restrictions shall placed']
[0.25, u'act court appeal']
[0.25, u'applicant case provided']
[0.25, u'article 37 convention']
[0.25, u'article hear case']
[0.25, u'courts repetition orders']
[0.25, u'establishing responsibility light']
[0.25, u'freedoms convention croatian']
[0.25, u'inter alia eyewitness']
[0.25, u'investigation capable leading']
[0.25, u'notes present application']
[0.25, u'oral observations admissibility']
[0.25, u'pay applicant uah']
[0.25, u'pecuniary damage result']
[0.25, u'right individual petition']
[0.25, u'supreme court chechen']
[0.245, u'allowing contracting state']
[0.245, u'complied month rule']
[0.245, u'contributed prolongation proceedings']
[0.245, u'convention relating status']
[0.245, u'grounds recognised domestic']
[0.245, u'incumbent government claiming']
[0.245, u'month period runs']
[0.245, u'party written oral']
[0.245, u'proof reasonable doubt']
[0.245, u'right accordance law']
[0.245, u'sufficiently strong clear']
[0.23999999999999999, u'13 interpreted requiring']
[0.23999999999999999, u'bulgaria lodged court']
[0.23999999999999999, u'certainty favourable outcome']
[0.23999999999999999, u'contracting states organise']
[0.23999999999999999, u'court held hearings']
[0.23999999999999999, u'grant appropriate relief']
[0.23999999999999999, u'hear case reasonable']
[0.23999999999999999, u'ill treatment police']
[0.23999999999999999, u'lack remedy domestic']
[0.23999999999999999, u'obligations criminal charge']
[0.23999999999999999, u'plausible explanation injuries']
[0.23999999999999999, u'raised respondent contracting']
[0.23499999999999999, u'application federal republic']
[0.23499999999999999, u'application ireland lodged']
[0.23499999999999999, u'article 50 art']
[0.23499999999999999, u'article convention account']
[0.23499999999999999, u'contracting parties undertake']
[0.23499999999999999, u'echr 2001 x2011']
[0.23499999999999999, u'effective accessible remedy']
[0.23499999999999999, u'longer claim victim']
[0.23499999999999999, u'protocols follows application']
[0.23499999999999999, u'remedy respect excessive']
[0.23499999999999999, u'rules court plea']
[0.23000000000000001, u'mrs lazareska gerovska']
[0.23000000000000001, u'pleaded non exhaustion']
[0.23000000000000001, u'remedy enforce right']
[0.23000000000000001, u'situation refers state']
[0.23000000000000001, u'submitted having regard']
[0.22500000000000001, u'contracting party written']
[0.22500000000000001, u'court gave judgment']
[0.22500000000000001, u'court plea inadmissibility']
[0.22500000000000001, u'effective exercise right']
[0.22500000000000001, u'evidence establishment facts']
[0.22500000000000001, u'level suffering inherent']
[0.22500000000000001, u'sentence paragraph article']
[0.22, u'13 convention iii']
[0.22, u'18 january 2005']
[0.22, u'basis unilateral declaration']
[0.22, u'case length proceedings']
[0.22, u'certain theory practice']
[0.22, u'damage sustained account']
[0.22, u'grievances regarded arguable']
[0.22, u'macedonia lodged court']
[0.22, u'non execution judgment']
[0.22, u'northern ireland lodged']
[0.22, u'originated application federal']
[0.22, u'reasonableness length proceedings']
[0.22, u'remedies exhausted effective']
[0.22, u'respect grievances regarded']
[0.22, u'respect pecuniary losses']
[0.22, u'rules admissibility evidence']
[0.22, u'years produced tangible']
[0.215, u'convention court accepts']
[0.215, u'determination criminal charges']
[0.215, u'effective official investigation']
[0.215, u'partial reparation consequences']
[0.215, u'right fair trial']
[0.215, u'said arguable grounds']
[0.215, u'time requirement article']
[0.20999999999999999, u'13 convention redress']
[0.20999999999999999, u'accessible remedy domestic']
[0.20999999999999999, u'albania lodged court']
[0.20999999999999999, u'charge entitled hearing']
[0.20999999999999999, u'consideration case rule']
[0.20999999999999999, u'court notes present']
[0.20999999999999999, u'court observes previous']
[0.20999999999999999, u'failed satisfy reasonable']
[0.20999999999999999, u'lawyer practising london']
[0.20999999999999999, u'refers state affairs']
[0.20499999999999999, u'civil meaning article']
[0.20499999999999999, u'regional court krajsk\xfd']
[0.20499999999999999, u'requirements article 13']
[0.20499999999999999, u'respondent contracting party']
[0.20499999999999999, u'right respect correspondence']
[0.20499999999999999, u'thorough effective investigation']
[0.20000000000000001, u'20862 02 echr']
[0.20000000000000001, u'ability establish cause']
[0.20000000000000001, u'case x2011 law']
[0.20000000000000001, u'democratic society order']
[0.20000000000000001, u'did disposal effective']
[0.20000000000000001, u'enjoyment rights freedoms']
[0.20000000000000001, u'established court case']
[0.20000000000000001, u'established declared admissible']
[0.20000000000000001, u'interference accordance law']
[0.20000000000000001, u'investigation undermines ability']
[0.20000000000000001, u'pecuniary damage claimed']
[0.20000000000000001, u'regard circumstances case']
[0.20000000000000001, u'remedy allowing contracting']
[0.19500000000000001, u'area exclusive control']
[0.19500000000000001, u'article 34 convention']
[0.19500000000000001, u'article court considers']
[0.19500000000000001, u'competent national authority']
[0.19500000000000001, u'discloses deficiency judicial']
[0.19500000000000001, u'errors fact law']
[0.19500000000000001, u'government submitted applicant']
[0.19500000000000001, u'lower courts repetition']
[0.19500000000000001, u'macedonian government government']
[0.19500000000000001, u'prerequisite application article']
[0.19500000000000001, u'secure evidence concerning']
[0.19500000000000001, u'strong clear concordant']
[0.19, u'arguments require court']
[0.19, u'art 13 convention']
[0.19, u'burden proof drawing']
[0.19, u'complained article protocol']
[0.19, u'feelings fear anguish']
[0.19, u'government maintained applicant']
[0.19, u'instances respondent government']
[0.19, u'prohibits absolute terms']
[0.19, u'reads follows rights']
[0.19, u'real risk ill']
[0.19, u'set proceedings discloses']
[0.19, u'state health victim']
[0.19, u'vi\u0161je sodi\u0161\u010de celju']
[0.19, u'written oral observations']
[0.185, u'account particular circumstances']
[0.185, u'enforce right hearing']
[0.185, u'freedoms convention ukrainian']
[0.185, u'proceedings domestic courts']
[0.185, u'reflected article 13']
[0.185, u'reports judgments decisions']
[0.185, u'secure jurisdiction rights']
[0.185, u'space afforded detainees']
[0.185, u'steps safeguard lives']
[0.185, u'traces ill treatment']
[0.17999999999999999, u'complaint length proceedings']
[0.17999999999999999, u'complaint section 63']
[0.17999999999999999, u'continuing situation refers']
[0.17999999999999999, u'force strictly necessary']
[0.17999999999999999, u'meaning article 13']
[0.17999999999999999, u'purposes article 35']
[0.17999999999999999, u'taken view deportation']
[0.17499999999999999, u'allowing competent national']
[0.17499999999999999, u'applicant arrested suspicion']
[0.17499999999999999, u'application republic turkey']
[0.17499999999999999, u'argued claim high']
[0.17499999999999999, u'clear concordant inferences']
[0.17499999999999999, u'date set hearing']
[0.17499999999999999, u'deprived provisions article']
[0.17499999999999999, u'incumbent state provide']
[0.17499999999999999, u'proceedings discloses deficiency']
[0.17499999999999999, u'recourse physical force']
[0.17499999999999999, u'state margin appreciation']
[0.17499999999999999, u'unrebutted presumptions fact']
[0.17000000000000001, u'applicants presented coherent']
[0.17000000000000001, u'article convention iii']
[0.17000000000000001, u'court competence ratione']
[0.17000000000000001, u'decided communicate complaints']
[0.17000000000000001, u'domestic remedy enforce']
[0.17000000000000001, u'establishing liability state']
[0.17000000000000001, u'federal republic germany']
[0.17000000000000001, u'follows rights freedoms']
[0.17000000000000001, u'interests national security']
[0.17000000000000001, u'non governmental organisation']
[0.17000000000000001, u'paragraph necessary democratic']
[0.17000000000000001, u'requirement article hear']
[0.17000000000000001, u'set time limit']
[0.17000000000000001, u'stated investigation progress']
[0.17000000000000001, u'summary relevant domestic']
[0.17000000000000001, u'torture cruel inhuman']
[0.16500000000000001, u'37 convention basis']
[0.16500000000000001, u'article 127 constitution']
[0.16500000000000001, u'court appeal stated']
[0.16500000000000001, u'court reiterates legal']
[0.16500000000000001, u'decided examine merits']
[0.16500000000000001, u'injuries deaths occurring']
[0.16500000000000001, u'plot land measuring']
[0.16500000000000001, u'provides court finds']
[0.16500000000000001, u'relevant right liberty']
[0.16500000000000001, u'relied article convention']
[0.16500000000000001, u'render remedy ineffective']
[0.16500000000000001, u'social security contributions']
[0.16, u'02 echr 2002']
[0.16, u'10 000 000']
[0.16, u'according government investigation']
[0.16, u'added tax chargeable']
[0.16, u'arguable grounds recognised']
[0.16, u'authorities deprived provisions']
[0.16, u'concept continuing situation']
[0.16, u'conduct diminishes human']
[0.16, u'court notes government']
[0.16, u'exhaust domestic remedies']
[0.16, u'individual excessive burden']
[0.16, u'republic macedonia lodged']
[0.16, u'requirements strict absorbed']
[0.16, u'subjected torture inhuman']
[0.16, u'torture inhuman degrading']
[0.155, u'13 effective practice']
[0.155, u'agent mrs lazareska']
[0.155, u'appropriate steps safeguard']
[0.155, u'case court finds']
[0.155, u'convention refers essentially']
[0.155, u'criminal proceedings ii']
[0.155, u'explanation insufficient justify']
[0.155, u'jurisdiction favour grand']
[0.155, u'national level enforce']
[0.155, u'physical force strictly']
[0.155, u'rights freedoms form']
[0.155, u'romania lodged court']
[0.155, u'scrutiny safeguard interests']
[0.155, u'state domestic law']
[0.14999999999999999, u'applying pilot judgment']
[0.14999999999999999, u'assumption reflected article']
[0.14999999999999999, u'cases explanation insufficient']
[0.14999999999999999, u'concerning alleged ill']
[0.14999999999999999, u'effective remedy article']
[0.14999999999999999, u'flexibility excessive formalism']
[0.14999999999999999, u'free choose means']
[0.14999999999999999, u'government pleaded non']
[0.14999999999999999, u'guarantees effective remedy']
[0.14999999999999999, u'pursued legitimate aims']
[0.14999999999999999, u'rule 52 rules']
[0.14499999999999999, u'adequate indication circumstances']
[0.14499999999999999, u'article 27 convention']
[0.14499999999999999, u'article convention secure']
[0.14499999999999999, u'convention ensure observance']
[0.14499999999999999, u'court article 34']
[0.14499999999999999, u'court ustavni zakon']
[0.14499999999999999, u'degrading conditions detention']
[0.14499999999999999, u'freedom expression court']
[0.14499999999999999, u'interference private life']
[0.14499999999999999, u'present case government']
[0.14499999999999999, u'preventing putting right']
[0.14499999999999999, u'proceedings including way']
[0.14499999999999999, u'putting right violations']
[0.14499999999999999, u'remedies referred article']
[0.14499999999999999, u'time requirement provided']
[0.14499999999999999, u'violation article 11']
[0.14499999999999999, u'zakon ustavnom sudu']
[0.14000000000000001, u'29 march 2006']
[0.14000000000000001, u'actually incurred necessarily']
[0.14000000000000001, u'complaints article 13']
[0.14000000000000001, u'convention secure jurisdiction']
[0.14000000000000001, u'court remedies exhausted']
[0.14000000000000001, u'custody good health']
[0.14000000000000001, u'delay present proceedings']
[0.14000000000000001, u'exhaustion domestic remedies']
[0.14000000000000001, u'general applicant alleged']
[0.14000000000000001, u'instant case court']
[0.14000000000000001, u'observes previous cases']
[0.14000000000000001, u'protect right life']
[0.14000000000000001, u'theory practice relevant']
[0.13500000000000001, u'anguish inferiority capable']
[0.13500000000000001, u'claim victim violation']
[0.13500000000000001, u'complaint constitutional court']
[0.13500000000000001, u'court awards applicant']
[0.13500000000000001, u'court heard addresses']
[0.13500000000000001, u'covered notions private']
[0.13500000000000001, u'delivery constitutional court']
[0.13500000000000001, u'dismisses preliminary objection']
[0.13500000000000001, u'exercise right individual']
[0.13500000000000001, u'failed ensure investigation']
[0.13500000000000001, u'falls respondent state']
[0.13500000000000001, u'freedoms convention slovakian']
[0.13500000000000001, u'jurisdiction rights freedoms']
[0.13500000000000001, u'law shall deprived']
[0.13500000000000001, u'lawyer practising zagreb']
[0.13500000000000001, u'liability state officials']
[0.13500000000000001, u'mr bembi\u010d state']
[0.13500000000000001, u'national authority alleged']
[0.13500000000000001, u'obligation high contracting']
[0.13500000000000001, u'pressing social need']
[0.13500000000000001, u'relevant reads follows']
[0.13500000000000001, u'unjustified state interference']
[0.13500000000000001, u'ustavnom sudu republike']
[0.13, u'alleged breach requirement']
[0.13, u'amounts claimed applicants']
[0.13, u'application republic poland']
[0.13, u'based assumption reflected']
[0.13, u'claim purposes article']
[0.13, u'department prosecutor general']
[0.13, u'distress hardship intensity']
[0.13, u'domestic remedies referred']
[0.13, u'expenses actually necessarily']
[0.13, u'founded meaning article']
[0.13, u'hardship intensity exceeding']
[0.13, u'incurred reasonable quantum']
[0.13, u'judgment given applicant']
[0.13, u'legal protection arbitrary']
[0.13, u'national security considerations']
[0.13, u'proceedings 21 july']
[0.13, u'prosecutor office united']
[0.13, u'public emergency threatening']
[0.13, u'regard criteria laid']
[0.13, u'remedy effective available']
[0.13, u'represented verstov\u0161ek lawyers']
[0.13, u'submit claim head']
[0.13, u'submitted court remedies']
[0.13, u'substance convention rights']
[0.13, u'sudu republike hrvatske']
[0.13, u'treatment punishment cpt']
[0.13, u'violation convention appropriate']
[0.125, u'35 convention notes']
[0.125, u'applicant claimed approximately']
[0.125, u'chapter 25 code']
[0.125, u'constitutional act constitutional']
[0.125, u'echr 2005 x2011']
[0.125, u'emergency threatening life']
[0.125, u'happen secured domestic']
[0.125, u'incurred necessarily incurred']
[0.125, u'investigation allegations ill']
[0.125, u'protection human rights']
[0.125, u'risk subjected treatment']
[0.125, u'state foresees makes']
[0.125, u'states afforded discretion']
[0.125, u'subject deprivation life']
[0.125, u'takes formal note']
[0.12, u'000 head costs']
[0.12, u'application russian federation']
[0.12, u'authorised law exercise']
[0.12, u'constitutional complaint section']
[0.12, u'deliver written judgment']
[0.12, u'finds remedy relied']
[0.12, u'law capable affording']
[0.12, u'meaning article 34']
[0.12, u'possession meaning article']
[0.12, u'practising zagreb croatian']
[0.12, u'requirement provided article']
[0.12, u'respect length proceedings']
[0.12, u'similar unrebutted presumptions']
[0.12, u'suitability applying pilot']
[0.12, u'time facts circumstances']
[0.115, u'accordingly present case']
[0.115, u'administrative court application']
[0.115, u'affinity effective remedy']
[0.115, u'agent mrs wittling']
[0.115, u'applicant obtain execution']
[0.115, u'application republic bulgaria']
[0.115, u'application struck list']
[0.115, u'article 13 varies']
[0.115, u'awarded applicant equivalent']
[0.115, u'compliance month rule']
[0.115, u'considers present case']
[0.115, u'convention application allocated']
[0.115, u'convention requires implication']
[0.115, u'court judgment case']
